LAT,LON,LEVEL,DATE,TIME,VALUE
42.67254,12.24557,0,20230507,12,313.3596
42.672983,12.276041,0,20230507,12,307.4635
42.673418,12.306513,0,20230507,12,303.0309
42.673843,12.336985,0,20230507,12,302.6777
42.67426,12.367457,0,20230507,12,305.6937
42.674668,12.39793,0,20230507,12,305.0324
42.675067,12.428404,0,20230507,12,312.2425
42.675458,12.458877,0,20230507,12,314.542
42.675839,12.489352,0,20230507,12,315.3026
42.676212,12.519826,0,20230507,12,309.0755
42.676576,12.550301,0,20230507,12,309.4974
42.676932,12.580777,0,20230507,12,303.6972
42.677278,12.611252,0,20230507,12,303.8008
42.677616,12.641729,0,20230507,12,303.9637
42.677945,12.672205,0,20230507,12,302.1328
42.678266,12.702682,0,20230507,12,301.8026
42.678577,12.733159,0,20230507,12,301.0446
42.67888,12.763637,0,20230507,12,300.9851
42.679174,12.794114,0,20230507,12,301.8544
42.679459,12.824593,0,20230507,12,304.3754
42.679735,12.855071,0,20230507,12,301.7559
42.680003,12.88555,0,20230507,12,296.4523
42.680262,12.916029,0,20230507,12,297.128
42.680512,12.946508,0,20230507,12,301.2228
42.680753,12.976988,0,20230507,12,299.3571
42.680986,13.007467,0,20230507,12,299.4301
42.68121,13.037947,0,20230507,12,301.0938
42.681425,13.068428,0,20230507,12,301.705
42.681631,13.098908,0,20230507,12,299.3808
42.681828,13.129389,0,20230507,12,299.2841
42.682017,13.15987,0,20230507,12,298.5668
42.682197,13.190351,0,20230507,12,301.3892
42.682368,13.220832,0,20230507,12,301.8773
42.68253,13.251314,0,20230507,12,304.6326
42.682684,13.281795,0,20230507,12,304.6836
42.682829,13.312277,0,20230507,12,301.407
42.682965,13.342759,0,20230507,12,306.0468
42.683092,13.373241,0,20230507,12,301.2585
42.68321,13.403723,0,20230507,12,302.3908
42.68332,13.434206,0,20230507,12,301.9927
42.683421,13.464688,0,20230507,12,302.4197
42.683513,13.495171,0,20230507,12,302.8382
42.683596,13.525653,0,20230507,12,303.013
42.683671,13.556136,0,20230507,12,301.9698
42.683737,13.586619,0,20230507,12,302.6922
42.683794,13.617102,0,20230507,12,303.4222
42.683842,13.647585,0,20230507,12,304.2897
42.683882,13.678068,0,20230507,12,308.5747
42.683912,13.708551,0,20230507,12,309.9702
42.683934,13.739034,0,20230507,12,314.5064
42.683947,13.769517,0,20230507,12,308.8573
42.683952,13.8,0,20230507,12,309.1451
42.683947,13.830483,0,20230507,12,307.4364
42.683934,13.860966,0,20230507,12,308.9515
42.683912,13.891449,0,20230507,12,306.7887
42.683882,13.921932,0,20230507,12,306.2836
42.683842,13.952415,0,20230507,12,306.1767
42.683794,13.982898,0,20230507,12,306.4067
42.683737,14.013381,0,20230507,12,310.1892
42.683671,14.043864,0,20230507,12,289.8627
42.683596,14.074347,0,20230507,12,289.7193
42.683513,14.104829,0,20230507,12,289.7032
42.683421,14.135312,0,20230507,12,289.721
42.68332,14.165794,0,20230507,12,289.6785
42.68321,14.196277,0,20230507,12,289.6989
42.683092,14.226759,0,20230507,12,289.7261
42.682965,14.257241,0,20230507,12,289.7083
42.682829,14.287723,0,20230507,12,289.7184
42.682684,14.318205,0,20230507,12,289.7685
42.68253,14.348686,0,20230507,12,289.7728
42.682368,14.379168,0,20230507,12,289.7498
42.682197,14.409649,0,20230507,12,289.7515
42.682017,14.44013,0,20230507,12,289.7439
42.681828,14.470611,0,20230507,12,289.7278
42.681631,14.501092,0,20230507,12,289.7329
42.681425,14.531572,0,20230507,12,289.7201
42.68121,14.562053,0,20230507,12,289.6811
